customer_id,home_location,typical_amount,daily_frequency,preferred_merchants
C0001,Mumbai,612.55,3,"['H&M', 'Myntra']"
C0002,Goa,3814.12,6,"['Flipkart', 'Reliance']"
C0003,Chennai,643.02,1,"['H&M', 'Myntra']"
C0004,Delhi,3025.6,6,"['Flipkart', 'Big Chill']"
C0005,Pune,2521.44,3,"['Amazon', 'Max']"
C0006,Chennai,2031.13,2,"['H&M', 'Spar']"
C0007,Mumbai,917.36,1,"['Spar', 'Myntra']"
C0008,Bengaluru,4132.08,6,"['Burger King', 'Flipkart']"
C0009,Mumbai,4879.02,4,"['Reliance', 'Flipkart']"
C0010,Bengaluru,4232.32,5,"['Spar', 'H&M']"
C0011,Mumbai,706.21,2,"['Zara', 'Reliance']"
C0012,Pune,4399.18,4,"['Zara', 'Burger King']"
C0013,Hyderabad,1231.94,3,"['H&M', 'Zara']"
C0014,Mumbai,3241.09,2,"['Flipkart', 'H&M']"
C0015,Goa,2580.17,3,"['Flipkart', 'H&M']"
C0016,Hyderabad,4292.83,1,"['H&M', 'Amazon']"
C0017,Hyderabad,2305.24,1,"['H&M', 'Spar']"
C0018,Pune,3449.47,4,"['Burger King', 'Max']"
C0019,Bengaluru,1128.34,6,"['Flipkart', 'Myntra']"
C0020,Bengaluru,3861.56,4,"['Myntra', 'Big Chill']"
C0021,Hyderabad,1486.94,2,"['Flipkart', 'Burger King']"
C0022,Mumbai,3901.02,1,"['Max', 'Myntra']"
C0023,Chennai,3183.84,4,"['Big Chill', 'Burger King']"
C0024,Bengaluru,4869.85,1,"['Reliance', 'Flipkart']"
C0025,Bengaluru,3958.69,3,"['Reliance', 'Zara']"
C0026,Chennai,1211.71,1,"['Zara', 'Flipkart']"
C0027,Goa,2784.57,1,"['Zara', 'Flipkart']"
C0028,Pune,1187.78,2,"['Flipkart', 'Myntra']"
C0029,Delhi,3195.25,4,"['Amazon', 'Reliance']"
C0030,Hyderabad,4454.25,3,"['H&M', 'Amazon']"
C0031,Pune,4451.04,1,"['Reliance', 'Burger King']"
C0032,Mumbai,4900.93,5,"['Max', 'Myntra']"
C0033,Kolkata,4760.82,2,"['Zara', 'Flipkart']"
C0034,Chennai,4839.63,5,"['H&M', 'Zara']"
C0035,Chennai,4978.17,6,"['Spar', 'Burger King']"
C0036,Kolkata,1044.52,2,"['Reliance', 'Spar']"
C0037,Delhi,3147.39,2,"['Myntra', 'H&M']"
C0038,Delhi,819.47,6,"['Amazon', 'H&M']"
C0039,Mumbai,4574.39,3,"['Reliance', 'Flipkart']"
C0040,Pune,1753.15,4,"['H&M', 'Flipkart']"
C0041,Goa,3755.09,5,"['Myntra', 'Burger King']"
C0042,Pune,4030.79,4,"['H&M', 'Reliance']"
C0043,Mumbai,3465.42,3,"['Big Chill', 'Myntra']"
C0044,Kolkata,4387.27,1,"['Reliance', 'Amazon']"
C0045,Chennai,3776.96,1,"['H&M', 'Myntra']"
C0046,Pune,2913.29,2,"['Big Chill', 'Max']"
C0047,Bengaluru,2581.83,1,"['Burger King', 'Flipkart']"
C0048,Mumbai,727.65,5,"['Amazon', 'Reliance']"
C0049,Pune,1248.4,4,"['Burger King', 'H&M']"
C0050,Chennai,4560.99,2,"['Big Chill', 'Amazon']"
C0051,Chennai,1693.41,4,"['Zara', 'Big Chill']"
C0052,Kolkata,1196.59,3,"['H&M', 'Amazon']"
C0053,Delhi,3865.89,1,"['Amazon', 'Burger King']"
C0054,Goa,755.96,5,"['Reliance', 'Max']"
C0055,Mumbai,3177.66,6,"['H&M', 'Big Chill']"
C0056,Mumbai,4737.18,5,"['H&M', 'Amazon']"
C0057,Mumbai,2386.51,5,"['Myntra', 'Flipkart']"
C0058,Hyderabad,4706.18,2,"['Spar', 'H&M']"
C0059,Bengaluru,2281.04,6,"['Zara', 'Burger King']"
C0060,Hyderabad,4680.58,1,"['Amazon', 'Burger King']"
C0061,Mumbai,829.67,2,"['Flipkart', 'Zara']"
C0062,Goa,4699.67,1,"['H&M', 'Spar']"
C0063,Bengaluru,1209.86,5,"['Zara', 'Flipkart']"
C0064,Delhi,3505.38,5,"['Zara', 'Reliance']"
C0065,Goa,1690.1,1,"['Flipkart', 'Max']"
C0066,Bengaluru,1767.9,2,"['Spar', 'H&M']"
C0067,Bengaluru,2774.34,3,"['Amazon', 'Reliance']"
C0068,Chennai,4232.07,1,"['Amazon', 'Spar']"
C0069,Goa,3367.01,3,"['Max', 'Burger King']"
C0070,Chennai,3024.08,1,"['Reliance', 'Max']"
C0071,Delhi,4255.68,5,"['Flipkart', 'Max']"
C0072,Chennai,1073.5,3,"['Spar', 'Amazon']"
C0073,Hyderabad,1445.34,2,"['Reliance', 'Spar']"
C0074,Chennai,4882.27,6,"['Max', 'H&M']"
C0075,Goa,4892.93,2,"['Big Chill', 'Amazon']"
C0076,Goa,3814.54,3,"['Big Chill', 'H&M']"
C0077,Bengaluru,1216.39,6,"['Reliance', 'Big Chill']"
C0078,Delhi,4363.67,2,"['H&M', 'Burger King']"
C0079,Hyderabad,1873.36,2,"['H&M', 'Amazon']"
C0080,Pune,2293.1,3,"['Reliance', 'Zara']"
C0081,Hyderabad,3386.67,4,"['Flipkart', 'Spar']"
C0082,Delhi,1019.04,3,"['Max', 'Zara']"
C0083,Delhi,987.81,4,"['Spar', 'Myntra']"
C0084,Chennai,3227.94,5,"['Reliance', 'Big Chill']"
C0085,Pune,1646.25,6,"['Big Chill', 'Amazon']"
C0086,Pune,2139.0,1,"['Spar', 'Myntra']"
C0087,Mumbai,3738.89,3,"['Flipkart', 'Zara']"
C0088,Chennai,1967.82,6,"['Zara', 'Flipkart']"
C0089,Goa,1363.28,6,"['Big Chill', 'Max']"
C0090,Bengaluru,2327.34,1,"['Zara', 'Myntra']"
C0091,Pune,2434.5,5,"['Myntra', 'Spar']"
C0092,Kolkata,2488.04,6,"['H&M', 'Flipkart']"
C0093,Kolkata,4071.81,6,"['Max', 'Reliance']"
C0094,Bengaluru,2819.53,6,"['Myntra', 'Spar']"
C0095,Mumbai,4182.91,2,"['Zara', 'H&M']"
C0096,Pune,1163.09,1,"['H&M', 'Burger King']"
C0097,Mumbai,2549.37,6,"['Myntra', 'H&M']"
C0098,Chennai,2724.7,2,"['Max', 'Amazon']"
C0099,Mumbai,4002.89,2,"['Max', 'Flipkart']"
C0100,Kolkata,725.98,2,"['Reliance', 'Burger King']"
C0101,Goa,4106.37,6,"['Flipkart', 'Myntra']"
C0102,Hyderabad,4775.18,4,"['Myntra', 'Flipkart']"
C0103,Chennai,4237.56,5,"['Burger King', 'Max']"
C0104,Kolkata,2525.31,2,"['Zara', 'Flipkart']"
C0105,Kolkata,3320.37,3,"['Burger King', 'Reliance']"
C0106,Bengaluru,1555.22,3,"['Spar', 'Flipkart']"
C0107,Mumbai,1122.68,2,"['Big Chill', 'Max']"
C0108,Pune,789.03,4,"['Spar', 'Flipkart']"
C0109,Kolkata,2370.98,2,"['Big Chill', 'Myntra']"
C0110,Delhi,4355.29,5,"['Big Chill', 'Burger King']"
C0111,Delhi,4742.34,3,"['Big Chill', 'Myntra']"
C0112,Pune,2697.03,3,"['Big Chill', 'Burger King']"
C0113,Delhi,2249.86,6,"['Big Chill', 'Max']"
C0114,Kolkata,4637.94,5,"['Flipkart', 'Amazon']"
C0115,Chennai,3163.52,6,"['Amazon', 'Reliance']"
C0116,Chennai,1110.65,4,"['Max', 'Amazon']"
C0117,Bengaluru,2205.97,2,"['Burger King', 'Spar']"
C0118,Hyderabad,3925.53,4,"['Zara', 'Big Chill']"
C0119,Bengaluru,4257.1,4,"['Amazon', 'Flipkart']"
C0120,Delhi,4999.59,3,"['H&M', 'Reliance']"
C0121,Delhi,3894.05,2,"['H&M', 'Amazon']"
C0122,Goa,1573.45,4,"['Reliance', 'H&M']"
C0123,Kolkata,3647.59,3,"['Max', 'Reliance']"
C0124,Goa,4841.24,1,"['Myntra', 'Amazon']"
C0125,Bengaluru,3091.09,4,"['Big Chill', 'H&M']"
C0126,Mumbai,3164.44,6,"['H&M', 'Reliance']"
C0127,Bengaluru,4326.32,5,"['Reliance', 'Amazon']"
C0128,Hyderabad,2897.35,6,"['Spar', 'Reliance']"
C0129,Hyderabad,556.93,4,"['Burger King', 'Reliance']"
C0130,Chennai,4823.54,6,"['Burger King', 'Max']"
C0131,Chennai,1292.62,5,"['Zara', 'Flipkart']"
C0132,Kolkata,2591.93,6,"['Myntra', 'Zara']"
C0133,Hyderabad,4332.71,1,"['Zara', 'Burger King']"
C0134,Pune,3877.14,5,"['Myntra', 'Big Chill']"
C0135,Hyderabad,629.15,3,"['Max', 'Burger King']"
C0136,Pune,2096.71,3,"['Spar', 'Zara']"
C0137,Bengaluru,3001.06,5,"['H&M', 'Reliance']"
C0138,Pune,3740.34,4,"['Flipkart', 'H&M']"
C0139,Kolkata,3406.56,4,"['Burger King', 'Amazon']"
C0140,Mumbai,1824.06,4,"['H&M', 'Zara']"
C0141,Hyderabad,2629.67,5,"['Spar', 'Big Chill']"
C0142,Hyderabad,2083.15,4,"['Zara', 'Myntra']"
C0143,Bengaluru,1537.42,6,"['H&M', 'Spar']"
C0144,Mumbai,3842.96,6,"['Max', 'H&M']"
C0145,Pune,3823.72,3,"['Myntra', 'Flipkart']"
C0146,Bengaluru,4912.3,2,"['Zara', 'H&M']"
C0147,Hyderabad,1307.49,1,"['Flipkart', 'Max']"
C0148,Bengaluru,704.82,1,"['Flipkart', 'Zara']"
C0149,Goa,3370.41,4,"['Reliance', 'Amazon']"
C0150,Bengaluru,2612.29,4,"['Spar', 'Max']"
C0151,Delhi,1636.15,4,"['Reliance', 'Myntra']"
C0152,Chennai,2712.86,5,"['Amazon', 'Max']"
C0153,Goa,4150.14,3,"['Reliance', 'H&M']"
C0154,Mumbai,3011.33,4,"['Myntra', 'H&M']"
C0155,Chennai,2527.32,4,"['Zara', 'Big Chill']"
C0156,Bengaluru,3058.83,1,"['Myntra', 'Reliance']"
C0157,Pune,3314.82,3,"['Reliance', 'Max']"
C0158,Pune,1282.16,1,"['Max', 'Amazon']"
C0159,Chennai,2527.27,5,"['Burger King', 'Zara']"
C0160,Delhi,1541.64,6,"['Zara', 'Burger King']"
C0161,Mumbai,3593.23,3,"['Myntra', 'H&M']"
C0162,Chennai,1016.49,2,"['Max', 'Zara']"
C0163,Goa,821.34,2,"['Zara', 'Myntra']"
C0164,Kolkata,1059.59,6,"['Zara', 'Big Chill']"
C0165,Bengaluru,2752.12,4,"['Burger King', 'Reliance']"
C0166,Delhi,4502.4,6,"['Spar', 'Zara']"
C0167,Delhi,910.97,6,"['Myntra', 'Amazon']"
C0168,Bengaluru,3093.11,2,"['Burger King', 'Flipkart']"
C0169,Kolkata,4622.33,2,"['Myntra', 'Big Chill']"
C0170,Kolkata,4860.75,4,"['Spar', 'Big Chill']"
C0171,Hyderabad,1944.76,1,"['Max', 'Spar']"
C0172,Chennai,3621.53,3,"['Big Chill', 'Flipkart']"
C0173,Delhi,2546.72,3,"['Zara', 'Spar']"
C0174,Mumbai,4865.83,4,"['Flipkart', 'Amazon']"
C0175,Kolkata,2359.61,2,"['Flipkart', 'Spar']"
C0176,Kolkata,3314.34,1,"['H&M', 'Zara']"
C0177,Goa,4674.53,4,"['Burger King', 'Reliance']"
C0178,Delhi,4879.16,5,"['H&M', 'Max']"
C0179,Bengaluru,2978.78,5,"['Big Chill', 'Reliance']"
C0180,Pune,4965.16,1,"['Burger King', 'Reliance']"
C0181,Goa,2742.69,6,"['Zara', 'Flipkart']"
C0182,Bengaluru,2369.71,4,"['Burger King', 'H&M']"
C0183,Kolkata,2980.69,4,"['H&M', 'Flipkart']"
C0184,Goa,4388.12,3,"['Big Chill', 'Spar']"
C0185,Bengaluru,4192.47,3,"['Zara', 'Burger King']"
C0186,Goa,2509.46,4,"['Spar', 'Myntra']"
C0187,Chennai,2549.05,3,"['H&M', 'Myntra']"
C0188,Chennai,1551.03,4,"['Amazon', 'Spar']"
C0189,Kolkata,3673.53,4,"['Big Chill', 'Max']"
C0190,Kolkata,4841.71,2,"['Flipkart', 'Spar']"
C0191,Mumbai,4433.86,4,"['Reliance', 'Flipkart']"
C0192,Kolkata,569.06,2,"['Big Chill', 'Max']"
C0193,Mumbai,2612.71,3,"['Spar', 'Big Chill']"
C0194,Mumbai,4332.94,6,"['Flipkart', 'Big Chill']"
C0195,Hyderabad,3320.6,4,"['Flipkart', 'Amazon']"
C0196,Mumbai,1556.47,6,"['Zara', 'H&M']"
C0197,Mumbai,2452.87,1,"['Reliance', 'Burger King']"
C0198,Goa,3623.01,1,"['Amazon', 'Spar']"
C0199,Delhi,1820.15,3,"['Big Chill', 'Max']"
C0200,Pune,2890.25,5,"['Max', 'Myntra']"
C0201,Goa,855.36,4,"['Myntra', 'H&M']"
C0202,Kolkata,4607.73,2,"['H&M', 'Burger King']"
C0203,Bengaluru,2568.07,6,"['Amazon', 'Burger King']"
C0204,Bengaluru,3549.25,2,"['Reliance', 'Burger King']"
C0205,Hyderabad,4944.43,3,"['Big Chill', 'Zara']"
C0206,Kolkata,4303.87,2,"['Big Chill', 'Burger King']"
C0207,Mumbai,1567.43,5,"['Spar', 'Zara']"
C0208,Bengaluru,598.73,6,"['Big Chill', 'Zara']"
C0209,Delhi,3046.68,6,"['Amazon', 'Burger King']"
C0210,Bengaluru,3990.83,2,"['Myntra', 'Spar']"
C0211,Pune,3364.78,5,"['Zara', 'Max']"
C0212,Mumbai,4565.32,6,"['Amazon', 'Zara']"
C0213,Kolkata,650.14,3,"['Max', 'Reliance']"
C0214,Bengaluru,1970.24,4,"['Max', 'H&M']"
C0215,Goa,4039.31,3,"['Flipkart', 'Myntra']"
C0216,Bengaluru,4237.13,3,"['Burger King', 'Zara']"
C0217,Hyderabad,4119.05,4,"['Reliance', 'Max']"
C0218,Pune,4370.63,6,"['Big Chill', 'Flipkart']"
C0219,Hyderabad,906.36,4,"['Amazon', 'Zara']"
C0220,Mumbai,2546.54,6,"['Zara', 'Big Chill']"
C0221,Hyderabad,987.56,2,"['Burger King', 'Amazon']"
C0222,Hyderabad,4618.65,2,"['Reliance', 'Burger King']"
C0223,Bengaluru,3421.58,1,"['Max', 'Amazon']"
C0224,Delhi,1869.64,4,"['Reliance', 'Myntra']"
C0225,Pune,4492.67,2,"['Big Chill', 'Burger King']"
C0226,Hyderabad,3517.19,6,"['Flipkart', 'Big Chill']"
C0227,Goa,4484.36,6,"['Reliance', 'Burger King']"
C0228,Chennai,4725.74,3,"['Amazon', 'Spar']"
C0229,Pune,2495.22,2,"['Spar', 'Reliance']"
C0230,Hyderabad,2950.1,6,"['Spar', 'Amazon']"
C0231,Chennai,1741.47,1,"['Burger King', 'Reliance']"
C0232,Pune,3387.67,5,"['Amazon', 'Myntra']"
