transaction_id,customer_id,amount,timestamp,location,merchant,merchant_category,fraud
T00301,C0031,6527.78,2026-08-01 08:02:00,Pune,Burger King,Restaurant,0
T06641,C0665,2408.4,2026-08-01 08:02:00,,Spar,Grocery,0
T04211,C0422,5004.81,2026-08-01 08:03:00,Bengaluru,H&M,Apparel,0
T01061,C0107,765.39,2026-08-01 08:03:00,Mumbai,Max,Apparel,0
T04541,C0455,1520.69,2026-08-01 08:04:00,Bengaluru,Burger King,Restaurant,0
T00201,C0021,900.98,2026-08-01 08:05:00,Hyderabad,Flipkart,E-commerce,0
T04741,C0475,4947.96,2026-08-01 08:05:00,Pune,Myntra,E-commerce,0
T00611,C0062,2589.15,2026-08-01 08:06:00,Goa,Spar,Grocery,0
T03931,C0394,2321.44,2026-08-01 08:07:00,Chennai,Amazon,E-commerce,0
T08631,C0864,2241.04,2026-08-01 08:08:00,,Big Chill,Restaurant,0
T04981,C0499,4846.49,2026-08-01 08:10:00,Delhi,Burger King,Restaurant,0
T06071,C0608,460.19,2026-08-01 08:12:00,Mumbai,Spar,Grocery,0
T09001,C0901,1774.9,2026-08-01 08:13:00,,Flipkart,E-commerce,0
T06271,C0628,4271.73,2026-08-01 08:14:00,Mumbai,Flipkart,E-commerce,0
T04961,C0497,1693.27,2026-08-01 08:15:00,Pune,,E-commerce,0
T09541,C0955,1808.21,2026-08-01 08:18:00,Mumbai,Zara,Apparel,0
T03761,C0377,2266.41,2026-08-01 08:18:00,Chennai,,Apparel,0
T06631,C0664,2858.07,2026-08-01 08:19:00,Pune,Myntra,E-commerce,0
T04221,C0423,5146.68,2026-08-01 08:20:00,Delhi,Max,Apparel,0
T01561,C0157,4423.04,2026-08-01 08:20:00,,Max,Apparel,0
T03481,C0349,3921.96,2026-08-01 08:20:00,Chennai,Zara,Apparel,0
T07891,C0790,4422.4,2026-08-01 08:20:00,Mumbai,Amazon,E-commerce,0
T04201,C0421,2693.38,2026-08-01 08:21:00,Kolkata,Amazon,E-commerce,0
T06011,C0602,3801.12,2026-08-01 08:21:00,Bengaluru,Amazon,E-commerce,0
T07651,C0766,3942.35,2026-08-01 08:21:00,Hyderabad,Amazon,E-commerce,0
T02341,C0235,1573.75,2026-08-01 08:22:00,Pune,Amazon,E-commerce,0
T05211,C0522,2033.88,2026-08-01 08:22:00,Hyderabad,Burger King,Restaurant,0
T09701,C0971,1393.5,2026-08-01 08:24:00,Hyderabad,Big Chill,Restaurant,0
T00291,C0030,4632.99,2026-08-01 08:24:00,Hyderabad,Burger King,Restaurant,0
T04311,C0432,1775.91,2026-08-01 08:24:00,Chennai,Burger King,Restaurant,0
T00861,C0087,3078.48,2026-08-01 08:25:00,Mumbai,Flipkart,E-commerce,0
T06021,C0603,4121.95,2026-08-01 08:26:00,Pune,H&M,Apparel,0
T05721,C0573,4226.44,2026-08-01 08:26:00,Delhi,Zara,Apparel,0
T03921,C0393,3123.14,2026-08-01 08:26:00,Hyderabad,Flipkart,E-commerce,0
T02421,C0243,1787.02,2026-08-01 08:27:00,Chennai,Burger King,Restaurant,0
T08811,C0882,3596.82,2026-08-01 08:28:00,Hyderabad,Amazon,E-commerce,0
T04141,C0415,4357.28,2026-08-01 08:28:00,Bengaluru,Flipkart,E-commerce,0
T06571,C0658,1071.22,2026-08-01 08:29:00,Kolkata,Myntra,E-commerce,0
T02471,C0248,2753.94,2026-08-01 08:30:00,Pune,Big Chill,Restaurant,0
T02381,C0239,1915.68,2026-08-01 08:30:00,Delhi,Max,Apparel,0
T06371,C0638,5225.18,2026-08-01 08:31:00,Delhi,Reliance,Retail,0
T09341,C0935,3053.99,2026-08-01 08:31:00,,Big Chill,Restaurant,0
T07271,C0728,5190.31,2026-08-01 08:33:00,Bengaluru,Max,Apparel,0
T04521,C0453,1451.36,2026-08-01 08:35:00,Hyderabad,Big Chill,Restaurant,0
T00591,C0060,3723.32,2026-08-01 08:35:00,Hyderabad,Amazon,E-commerce,0
T00321,C0033,4036.48,2026-08-01 08:35:00,Kolkata,Zara,Apparel,0
T07151,C0716,6814.36,2026-08-01 08:35:00,Kolkata,Myntra,E-commerce,0
T08871,C0888,3346.59,2026-08-01 08:39:00,Mumbai,Big Chill,Restaurant,0
T01391,C0140,1068.93,2026-08-01 08:40:00,Mumbai,Reliance,Retail,0
T03171,C0318,575.65,2026-08-01 08:40:00,Goa,Burger King,Restaurant,0
T02151,C0216,3082.07,2026-08-01 08:41:00,Bengaluru,Burger King,Restaurant,0
T08651,C0866,5844.1,2026-08-01 08:43:00,Mumbai,Amazon,E-commerce,0
T02991,C0300,4856.33,2026-08-01 08:44:00,Mumbai,Big Chill,Restaurant,0
T03821,C0383,4322.52,2026-08-01 08:45:00,Pune,Flipkart,E-commerce,0
T03091,C0310,4833.4,2026-08-01 08:45:00,Chennai,Myntra,E-commerce,0
T05331,C0534,4695.15,2026-08-01 08:48:00,Chennai,Burger King,Restaurant,0
T03511,C0352,5440.92,2026-08-01 08:48:00,Pune,Burger King,Restaurant,0
T05021,C0503,1003.54,2026-08-01 08:48:00,Delhi,Zara,Apparel,0
T05951,C0596,4373.5,2026-08-01 08:51:00,Chennai,Reliance,Retail,0
T08561,C0857,1576.21,2026-08-01 08:51:00,Delhi,H&M,Apparel,0
T06401,C0641,2630.12,2026-08-01 08:51:00,Goa,Burger King,Restaurant,0
T06121,C0613,2084.77,2026-08-01 08:51:00,Goa,Reliance,Retail,0
T06341,C0635,1819.87,2026-08-01 08:52:00,Hyderabad,Amazon,E-commerce,0
T04851,C0486,1233.28,2026-08-01 08:55:00,Kolkata,Amazon,E-commerce,0
T07321,C0733,5572.41,2026-08-01 08:56:00,Goa,Myntra,E-commerce,0
T05461,C0547,4227.92,2026-08-01 08:57:00,Goa,Myntra,E-commerce,0
T05861,C0587,7378.87,2026-08-01 08:58:00,Delhi,Amazon,E-commerce,0
T08761,C0877,4436.3,2026-08-01 08:58:00,,Zara,Apparel,0
T05871,C0588,909.52,2026-08-01 08:59:00,Bengaluru,Spar,Grocery,0
T08131,C0814,4569.93,2026-08-01 08:59:00,Mumbai,Spar,Grocery,0
T03991,C0400,2930.8,2026-08-01 08:59:00,Delhi,H&M,Apparel,0
T03051,C0306,846.3,2026-08-01 09:00:00,Kolkata,Burger King,Restaurant,0
T07251,C0726,1650.7,2026-08-01 09:00:00,Kolkata,Burger King,Restaurant,0
T05661,C0567,4503.41,2026-08-01 09:00:00,Mumbai,Amazon,E-commerce,0
T00371,C0038,648.62,2026-08-01 09:01:00,Delhi,H&M,Apparel,0
T05671,C0568,3548.75,2026-08-01 09:01:00,Delhi,Burger King,Restaurant,0
T08711,C0872,536.13,2026-08-01 09:02:00,Goa,Myntra,E-commerce,0
T05441,C0545,938.73,2026-08-01 09:03:00,Hyderabad,H&M,Apparel,0
T03591,C0360,3560.27,2026-08-01 09:03:00,Hyderabad,Flipkart,E-commerce,0
T02111,C0212,3895.9,2026-08-01 09:04:00,Mumbai,Burger King,Restaurant,0
T00141,C0015,3143.61,2026-08-01 09:05:00,Goa,H&M,Apparel,0
T01211,C0122,2054.83,2026-08-01 09:05:00,Goa,H&M,Apparel,0
T01851,C0186,2308.41,2026-08-01 09:07:00,Goa,Burger King,Restaurant,0
T00801,C0081,4831.44,2026-08-01 09:07:00,Hyderabad,Flipkart,E-commerce,0
T04841,C0485,4046.6,2026-08-01 09:08:00,Goa,Myntra,E-commerce,0
T09991,C1000,2303.55,2026-08-01 09:10:00,Bengaluru,Flipkart,E-commerce,0
T08011,C0802,4355.46,2026-08-01 09:11:00,Hyderabad,Big Chill,Restaurant,0
T00881,C0089,1867.51,2026-08-01 09:12:00,Goa,Big Chill,Restaurant,0
T07701,C0771,5189.34,2026-08-01 09:12:00,Chennai,Burger King,Restaurant,0
T07141,C0715,3600.39,2026-08-01 09:13:00,,Max,Apparel,0
T03691,C0370,2155.66,2026-08-01 09:13:00,Bengaluru,Max,Apparel,0
T04231,C0424,3768.68,2026-08-01 09:13:00,Delhi,Max,Apparel,0
T07521,C0753,2884.53,2026-08-01 09:14:00,Goa,Reliance,Retail,0
T06831,C0684,3947.94,2026-08-01 09:16:00,Mumbai,Spar,Grocery,0
T07981,C0799,767.79,2026-08-01 09:16:00,Kolkata,Amazon,E-commerce,0
T00331,C0034,3533.24,2026-08-01 09:20:00,Chennai,H&M,Apparel,0
T06191,C0620,1196.21,2026-08-01 09:21:00,Delhi,Zara,Apparel,0
T05791,C0580,2885.41,2026-08-01 09:22:00,Bengaluru,Burger King,Restaurant,0
T01971,C0198,5199.14,2026-08-01 09:22:00,Goa,Amazon,E-commerce,0
T08141,C0815,5475.06,2026-08-01 09:23:00,Hyderabad,Myntra,E-commerce,0
T02671,C0268,547.37,2026-08-01 09:24:00,,Burger King,Restaurant,0
T08171,C0818,2809.7,2026-08-01 09:24:00,Bengaluru,Big Chill,Restaurant,0
T03731,C0374,2796.24,2026-08-01 09:25:00,Kolkata,Zara,Apparel,0
T07381,C0739,1801.76,2026-08-01 09:26:00,Bengaluru,,Apparel,0
T06741,C0675,443.05,2026-08-01 09:29:00,Kolkata,Max,Apparel,0
T03081,C0309,3792.92,2026-08-01 09:29:00,Kolkata,,E-commerce,0
T04421,C0443,1733.56,2026-08-01 09:32:00,Goa,Reliance,Retail,0
T03741,C0375,933.11,2026-08-01 09:33:00,Kolkata,Spar,Grocery,0
T07041,C0705,658.35,2026-08-01 09:33:00,Kolkata,Burger King,Restaurant,0
T08551,C0856,2702.36,2026-08-01 09:36:00,Hyderabad,Myntra,E-commerce,0
T07541,C0755,2073.13,2026-08-01 09:36:00,Hyderabad,Burger King,Restaurant,0
T00161,C0017,2563.55,2026-08-01 09:36:00,Hyderabad,H&M,Apparel,0
T08511,C0852,1938.09,2026-08-01 09:37:00,Hyderabad,Flipkart,E-commerce,0
T09761,C0977,3792.84,2026-08-01 09:37:00,Hyderabad,Zara,Apparel,0
T05391,C0540,3564.22,2026-08-01 09:38:00,Pune,Flipkart,E-commerce,0
T04761,C0477,2253.33,2026-08-01 09:40:00,Pune,Big Chill,Restaurant,0
T09351,C0936,2346.04,2026-08-01 09:40:00,Mumbai,Amazon,E-commerce,0
T08221,C0823,2947.01,2026-08-01 09:41:00,Chennai,Flipkart,E-commerce,0
T04341,C0435,2441.14,2026-08-01 09:42:00,Delhi,Amazon,E-commerce,0
T02661,C0267,2263.14,2026-08-01 09:43:00,Chennai,Max,Apparel,0
T00631,C0064,3870.95,2026-08-01 09:45:00,Delhi,Reliance,Retail,0
T06691,C0670,3447.89,2026-08-01 09:47:00,Pune,Amazon,E-commerce,0
T05321,C0533,3779.05,2026-08-01 09:49:00,Goa,Zara,Apparel,0
T06991,C0700,1287.88,2026-08-01 09:52:00,Mumbai,Myntra,E-commerce,0
T05781,C0579,3457.51,2026-08-01 09:55:00,,Big Chill,Restaurant,0
T06681,C0669,3303.53,2026-08-01 09:55:00,Pune,Flipkart,E-commerce,0
T08591,C0860,1758.76,2026-08-01 09:57:00,,Reliance,Retail,0
T01291,C0130,6501.2,2026-08-01 09:58:00,Chennai,Max,Apparel,0
T09041,C0905,858.89,2026-08-01 10:00:00,Goa,Reliance,Retail,0
T06821,C0683,1208.84,2026-08-01 10:00:00,Delhi,Reliance,Retail,0
T02581,C0259,2941.19,2026-08-01 10:01:00,Delhi,Amazon,E-commerce,0
T02231,C0224,1483.35,2026-08-01 10:02:00,Delhi,Myntra,E-commerce,0
T05811,C0582,4741.84,2026-08-01 10:02:00,Hyderabad,H&M,Apparel,0
T04651,C0466,1844.27,2026-08-01 10:02:00,Hyderabad,Max,Apparel,0
T03941,C0395,4534.34,2026-08-01 10:03:00,Hyderabad,Burger King,Restaurant,0
T00561,C0057,1320.27,2026-08-01 10:03:00,Mumbai,Myntra,E-commerce,0
T02491,C0250,1779.19,2026-08-01 10:03:00,Chennai,Spar,Grocery,0
T04771,C0478,2657.03,2026-08-01 10:04:00,Hyderabad,Flipkart,E-commerce,0
T06871,C0688,2439.35,2026-08-01 10:04:00,Chennai,Big Chill,Restaurant,0
T06701,C0671,2185.77,2026-08-01 10:06:00,Goa,Amazon,E-commerce,0
T01841,C0185,2632.65,2026-08-01 10:08:00,Bengaluru,Zara,Apparel,0
T09481,C0949,2174.18,2026-08-01 10:10:00,Bengaluru,Zara,Apparel,0
T06551,C0656,639.96,2026-08-01 10:12:00,Mumbai,Burger King,Restaurant,0
T07551,C0756,955.2,2026-08-01 10:12:00,Kolkata,Myntra,E-commerce,0
T05121,C0513,2260.52,2026-08-01 10:12:00,Chennai,Amazon,E-commerce,0
T01381,C0139,4605.78,2026-08-01 10:14:00,Kolkata,Burger King,Restaurant,0
T00841,C0085,1498.25,2026-08-01 10:16:00,Pune,Big Chill,Restaurant,0
T03841,C0385,3864.29,2026-08-01 10:18:00,Chennai,Reliance,Retail,0
T08921,C0893,4184.26,2026-08-01 10:18:00,Delhi,Amazon,E-commerce,0
T05051,C0506,1760.0,2026-08-01 10:18:00,Hyderabad,Reliance,Retail,0
T09441,C0945,5085.46,2026-08-01 10:19:00,Bengaluru,Spar,Grocery,0
T01331,C0134,4102.56,2026-08-01 10:19:00,Pune,Myntra,E-commerce,0
T06921,C0693,2552.3,2026-08-01 10:19:00,Goa,Flipkart,E-commerce,0
T01861,C0187,3211.53,2026-08-01 10:20:00,Chennai,H&M,Apparel,0
T04891,C0490,1848.22,2026-08-01 10:21:00,Delhi,Burger King,Restaurant,0
T01771,C0178,4843.08,2026-08-01 10:21:00,Delhi,Max,Apparel,0
T09891,C0990,2269.03,2026-08-01 10:21:00,Kolkata,Max,Apparel,0
T05501,C0551,1897.7,2026-08-01 10:24:00,Pune,Reliance,Retail,0
T05731,C0574,2761.53,2026-08-01 10:24:00,Goa,H&M,Apparel,0
T07001,C0701,721.18,2026-08-01 10:26:00,Pune,Max,Apparel,0
T01671,C0168,1891.97,2026-08-01 10:27:00,Bengaluru,Flipkart,E-commerce,0
T01421,C0143,886.49,2026-08-01 10:28:00,Bengaluru,H&M,Apparel,0
T09461,C0947,5499.62,2026-08-01 10:29:00,Kolkata,Amazon,E-commerce,0
T08251,C0826,1289.76,2026-08-01 10:29:00,Bengaluru,Zara,Apparel,0
T00671,C0068,2726.92,2026-08-01 10:31:00,Chennai,Amazon,E-commerce,0
T06761,C0677,4308.85,2026-08-01 10:31:00,Goa,Reliance,Retail,0
T05281,C0529,4729.37,2026-08-01 10:31:00,Bengaluru,Reliance,Retail,0
T01161,C0117,2798.99,2026-08-01 10:32:00,Bengaluru,Spar,Grocery,0
T03651,C0366,2617.24,2026-08-01 10:32:00,Goa,Flipkart,E-commerce,0
